일자,시가,고가,저가,종가,거래량,거래대금,수정주가구분,수정비율
2017-10-25,69500,71300,69300,70800,42512,3005,,
2017-10-24,67000,69700,66800,69500,37022,2533,,
2017-10-23,66900,67000,65800,66500,20199,1345,,
2017-10-20,65500,67100,65000,66100,20026,1326,,
2017-10-19,66100,66700,64700,65000,43586,2838,,
2017-10-18,67000,67500,66000,66100,15763,1051,,
2017-10-17,68200,68300,66100,67000,28253,1886,,
2017-10-16,68500,69000,66400,68200,22343,1507,,
2017-10-13,68900,69600,67200,68500,22802,1557,,
2017-10-12,66200,68700,65500,68600,20776,1403,,
2017-10-11,68200,68200,64900,66500,39121,2591,,
2017-10-10,68600,68700,66900,67200,11580,782,,
2017-09-29,67800,68300,66800,68200,13480,915,,
2017-09-28,65500,68300,65200,67700,23746,1598,,
2017-09-27,64000,65800,63500,65800,36369,2353,,
2017-09-26,62400,65100,62300,64000,33163,2117,,
2017-09-25,64000,64700,62800,63300,36625,2331,,
2017-09-22,65900,65900,62300,64000,84862,5363,,
2017-09-21,66500,67900,65100,65100,67708,4506,,
2017-09-20,68400,68900,66500,66500,54114,3677,,
2017-09-19,70000,70000,68200,68400,49615,3411,,
2017-09-18,70200,71200,70200,70300,25963,1833,,
2017-09-15,69700,71100,69000,71100,35989,2520,,
2017-09-14,70300,70600,68700,69900,46663,3237,,
2017-09-13,70700,71200,69800,70600,48883,3436,,
2017-09-12,71200,71200,70300,71100,13898,983,,
2017-09-11,71800,72000,70400,71100,30141,2140,,
2017-09-08,72400,72500,71100,71800,16248,1169,,
2017-09-07,71600,72200,70600,72200,32607,2330,,
2017-09-06,70500,72100,69900,71600,28110,1999,,
2017-09-05,71900,71900,69900,70500,60616,4275,,
2017-09-04,71100,72900,70900,71800,39726,2844,,
2017-09-01,72100,73500,71400,72500,22833,1648,,
2017-08-31,73400,73600,71700,72300,28576,2063,,
2017-08-30,74100,74100,72500,73400,22039,1608,,
2017-08-29,72900,74200,72000,73800,28802,2108,,
2017-08-28,73100,73400,72400,72900,23507,1713,,
2017-08-25,71100,73500,70200,72700,47402,3424,,
2017-08-24,70300,71300,69600,70600,48565,3430,,
2017-08-23,72800,72800,69900,70200,102718,7300,,
2017-08-22,74700,74800,72500,73000,44549,3266,,
2017-08-21,73200,74700,72800,74500,22307,1644,,
2017-08-18,73400,73700,72500,73200,41681,3049,,
2017-08-17,75900,76200,72500,73400,106146,7807,,
2017-08-16,78500,79900,73700,74300,110924,8425,,
2017-08-14,78000,78300,76600,76600,22275,1721,,
2017-08-11,76700,78100,76100,78000,22836,1763,,
2017-08-10,75400,77500,74800,77500,18356,1397,,
2017-08-09,75900,76400,75200,75400,14679,1114,,
2017-08-08,76500,76500,75400,75900,16792,1274,,
2017-08-07,76100,76700,75400,75900,16788,1276,,
2017-08-04,76800,76900,75600,75800,16358,1248,,
2017-08-03,76700,77400,75200,76800,16196,1231,,
2017-08-02,75900,76700,75400,76700,16578,1262,,
2017-08-01,75800,76700,74900,75900,28043,2124,,
2017-07-31,76700,76900,75300,75400,11709,888,,
2017-07-28,78000,78000,76200,76500,18955,1454,,
2017-07-27,77800,78000,76800,77900,18225,1414,,
2017-07-26,78000,78400,76700,77700,24673,1911,,
2017-07-25,78600,79600,77400,77600,46339,3640,,
2017-07-24,77900,79000,76700,78800,60745,4757,,
2017-07-21,77000,78700,76400,76400,54794,4243,,
2017-07-20,76300,77500,75400,76400,31715,2414,,
2017-07-19,76900,78300,75000,76000,51425,3928,,
2017-07-18,78500,78900,76400,76900,75611,5833,,
2017-07-17,73900,76600,72700,76200,78169,5887,,
2017-07-14,72400,73300,71400,72400,37553,2721,,
2017-07-13,73300,73600,72100,72400,41933,3044,,
2017-07-12,73500,74800,72100,73500,21412,1578,,
2017-07-11,74000,74300,72600,73500,29365,2159,,
2017-07-10,75200,75200,73000,73500,29775,2198,,
2017-07-07,76800,76800,74700,75200,35395,2663,,
2017-07-06,77200,77500,75600,76800,31592,2419,,
2017-07-05,77800,78800,77500,78300,33424,2616,,
2017-07-04,75100,78600,74700,77000,55812,4296,,
2017-07-03,74500,75700,73900,75000,28311,2113,,
2017-06-30,76000,76000,74300,74700,44390,3322,,
2017-06-29,77000,77300,74500,75400,90243,6788,,
2017-06-28,78500,79300,76800,77000,56672,4384,,
2017-06-27,80200,80200,78200,78500,36431,2868,,
2017-06-26,77800,80200,77000,80200,49069,3873,,
2017-06-23,77900,79100,77200,78200,51878,4069,,
2017-06-22,80700,80700,77800,77800,88089,6938,,
2017-06-21,82900,82900,80500,80500,68046,5524,,
2017-06-20,83000,83100,81600,82900,36948,3046,,
2017-06-19,82500,83200,81800,82600,49739,4104,,
2017-06-16,80900,82300,80100,81400,65487,5325,,
2017-06-15,83300,83400,80300,81300,152177,12372,,
2017-06-14,84200,85500,83100,83700,99410,8340,,
2017-06-13,82600,87100,82600,84800,314946,26744,,
2017-06-12,83800,84600,82200,82500,92004,7634,,
2017-06-09,83600,84900,82100,84600,238136,19842,,
2017-06-08,85700,87600,84300,84300,190654,16282,,
2017-06-07,86600,86800,83100,84600,295881,25061,,
2017-06-05,94000,94400,83000,85200,1272854,111329,,
